pair_id,judge,judge_model_family,source_model_family,self_family_match,run,category,source_winner,fixture_id
pair_0000,gemma_4b_judge,gemma,gemma,True,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0000,gemma_4b_judge,gemma,gemma,True,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0000,gemma_4b_judge,gemma,gemma,True,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0000,gemma_4b_judge,gemma,gemma,True,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0000,gemma_4b_judge,gemma,gemma,True,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0001,gemma_4b_judge,gemma,qwen,False,0,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0001,gemma_4b_judge,gemma,qwen,False,1,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0001,gemma_4b_judge,gemma,qwen,False,2,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0001,gemma_4b_judge,gemma,qwen,False,3,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0001,gemma_4b_judge,gemma,qwen,False,4,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0002,gemma_4b_judge,gemma,qwen,False,0,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0002,gemma_4b_judge,gemma,qwen,False,1,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0002,gemma_4b_judge,gemma,qwen,False,2,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0002,gemma_4b_judge,gemma,qwen,False,3,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0002,gemma_4b_judge,gemma,qwen,False,4,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_base
pair_0003,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0003,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0003,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0003,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0003,gemma_4b_judge,gemma,qwen,False,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0004,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0004,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0004,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0004,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0004,gemma_4b_judge,gemma,qwen,False,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0005,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0005,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0005,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0005,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0005,gemma_4b_judge,gemma,qwen,False,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0006,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0006,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0006,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0006,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0006,gemma_4b_judge,gemma,qwen,False,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_base
pair_0007,gemma_4b_judge,gemma,qwen,False,0,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0007,gemma_4b_judge,gemma,qwen,False,1,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0007,gemma_4b_judge,gemma,qwen,False,2,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0007,gemma_4b_judge,gemma,qwen,False,3,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0007,gemma_4b_judge,gemma,qwen,False,4,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0008,gemma_4b_judge,gemma,qwen,False,0,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0008,gemma_4b_judge,gemma,qwen,False,1,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0008,gemma_4b_judge,gemma,qwen,False,2,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0008,gemma_4b_judge,gemma,qwen,False,3,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0008,gemma_4b_judge,gemma,qwen,False,4,position_consistent_plan_a,,ab_A1__r_high__rc_high__ph_peak
pair_0009,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0009,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0009,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0009,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0009,gemma_4b_judge,gemma,qwen,False,4,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0010,gemma_4b_judge,gemma,qwen,False,0,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0010,gemma_4b_judge,gemma,qwen,False,1,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0010,gemma_4b_judge,gemma,qwen,False,2,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
pair_0010,gemma_4b_judge,gemma,qwen,False,3,source_consistent_programmatic,programmatic,ab_A1__r_high__rc_high__ph_peak
